# Biosample	Assay
skeletal muscle tissue	ChIP-seq KDM1A
naive thymus-derived CD4-positive, alpha-beta T cell	ChIP-seq H2AK5ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	ATAC-seq
esophagus muscularis mucosa female adult (53 years)	ChIP-seq H3K36me3
stomach smooth muscle female adult (84 years)	ChIP-seq H4K8ac
CD4-positive, alpha-beta memory T cell	ChIP-seq H2BK12ac
LHCN-M2	polyA RNA-seq
germinal matrix male embryo (20 weeks)	CAGE
Peyer's patch female adult (53 years)	ChIP-seq RAD21
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	total RNA-seq
chorionic villus male embryo (16 weeks)	ChIP-seq ELK1
chorionic villus female embryo (40 weeks)	ChIP-seq H3K9me3
PC-3	ChIP-seq SMC3
myotube	ChIP-seq SMC3
angular gyrus female adult (75 years)	ChIP-seq MAX
effector memory CD4-positive, alpha-beta T cell	ChIP-seq H3K4ac
H4	ChIP-seq H3K36me3
thyroid gland female adult (51 year)	ChIP-seq H3K4me3
RPMI-7951	polyA RNA-seq
SK-MEL-5	CAGE
cingulate gyrus male adult (81 year)	ChIP-seq MAX
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	CAGE
temporal lobe male adult (81 year)	ChIP-seq CHD2
skeletal muscle myoblast male adult (22 years)	ChIP-seq CTCF
mucosa of rectum female adult (61 year)	ChIP-seq H3K27ac
gastroesophageal sphincter male adult (37 years)	ATAC-seq
SK-N-SH cytosolic fraction	ChIP-seq CTCF
SK-N-SH	ChIP-seq SMC3
adrenal gland female adult (53 years)	ChIP-seq H3K4me3
vagina female adult (51 year)	ChIP-seq H3K4me3
spleen female adult (51 year)	ChIP-seq SMC3
keratinocyte nuclear fraction female	ChIP-seq SMC3
angular gyrus female adult (75 years)	ChIP-seq GTF2F1
duodenal mucosa male adult (59 years)	ChIP-seq RAD21
SK-N-DZ cytosolic fraction	CAGE
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq HDAC2
spleen male adult (34 years)	CAGE
IMR-90 nuclear fraction	CAGE
A549	DNase-seq read-depth normalized signal
upper lobe of left lung male adult (54 years)	ChIP-seq RAD21
angular gyrus female adult (75 years)	ChIP-seq ATF3
vein endothelial cell male adult (48 years) and male adult (52 years)	ChIP-seq TAF1
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq H3K79me2
omental fat pad female adult (53 years)	CAGE
body of pancreas female adult (53 years)	CAGE
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq CTCF
angular gyrus male adult (81 year)	ChIP-seq GTF2F1
uterus female adult (51 year)	DNase-seq read-depth normalized signal
ovary female adult (53 years)	ATAC-seq
duodenal mucosa male adult (76 years)	ChIP-seq H3K36me3
sigmoid colon female adult (51 year)	total RNA-seq
thyroid gland female embryo (37 weeks) and female embryo (40 weeks)	ChIP-seq H3K4me3
mesodermal cell originated from HUES64	CAGE
effector memory CD4-positive, alpha-beta T cell	CAGE
caudate nucleus female adult (75 years)	ChIP-seq H3K4me1
esophagus muscularis mucosa female adult (51 year)	CAGE
caudate nucleus male adult (81 year)	ChIP-seq H3K9ac
SK-MEL-5 nuclear fraction	ChIP-seq CTCF
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq H3K27ac
HUES64	ChIP-seq EZH2
fibroblast of dermis female adult (44 years) and female adult (55 years)	polyA RNA-seq
caudate nucleus male adult (81 year)	ChIP-seq RAD21
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq EZH2phosphoT487
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq USF2
cingulate gyrus male adult (81 year)	ChIP-seq H3K4me1
skeletal muscle tissue	ATAC-seq
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq POLR2AphosphoS5
mammary epithelial cell female adult (23 years)	CAGE
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq SMC3
sigmoid colon female adult (51 year)	CAGE
skeletal muscle tissue female adult (72 years)	ChIP-seq H3K36me3
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	CAGE
osteoblast female adult (56 years) and male adult (62 years)	CAGE
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K79me2
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq CTCF
